ID,entity_group,word,score,doc_num,lat,lon
72,LOC,holstenglacis hamburg,0.9999457597732544,2022-01-10,53.5564534,9.9753298
73,LOC,finnlands,0.9999886751174928,2022-01-11,64.1483127,-21.9507167
74,LOC,finnlines,0.9552432298660278,2022-01-11,60.221199150000004,25.177253957129075
75,LOC,helsinki,0.9999918937683104,2022-01-11,60.1674881,24.9427473
76,LOC,helsinki,0.9999903440475464,2022-01-11,60.1674881,24.9427473
77,LOC,armenien,0.9999741315841676,2022-01-13,40.7696272,44.6736646
78,LOC,lettland,0.9999712705612184,2022-01-13,56.8406494,24.7537645
79,LOC,moskau,0.9999855756759644,2022-01-13,55.7504461,37.6174943
80,LOC,russland,0.999995231628418,2022-01-13,64.6863136,97.7453061
82,LOC,thalia theater hamburg,0.9991660118103028,2022-01-13,53.552131450000005,9.998659325792184
83,LOC,baumwall,0.9998406171798706,2022-01-14,53.5441473,9.9822939
84,LOC,finnlands,0.999988317489624,2022-01-14,64.1483127,-21.9507167
85,COM,großstadtrevier Hamburg,0,2022-01-14,53.56375,9.91542
86,LOC,Hamburg altona,0.9999676942825316,2022-01-14,53.5521527,9.9345653
87,LOC,helsinki,0.9999887943267822,2022-01-14,60.1674881,24.9427473
89,LOC,Jan-fedder-promenade hamburg,0.9999864101409912,2022-01-14,53.5450857,9.9730806
90,LOC,Hamburg altona,0.9999688863754272,2022-01-17,53.5521527,9.9345653
91,LOC,Hamburg barmbek,0.9999711513519288,2022-01-17,53.5873864,10.0449416
92,LOC,hamburger kunsthalle,0.999975085258484,2022-01-17,53.5552936,10.003001095387152
93,LOC,hansestadt hamburg,0.9442800283432008,2022-01-17,53.4125524,10.1821509
94,LOC,neumünster,0.9999943971633912,2022-01-17,54.0757442,9.9815377
95,LOC,niederlanden,0.9999892711639404,2022-01-17,-25.965077,32.595727238999544
96,LOC,st pauli hamburg,0.9997420012950896,2022-01-17,53.5539347,9.9594316
97,COM,Stadtvilla,0,2022-01-17,53.23065,10.39182
98,LOC,uhlenhorst hamburg,0.9999662637710572,2022-01-17,53.5715093,10.0127361
99,LOC,wohlerspark hamburg,0.9999605417251587,2022-01-17,53.55825,9.95293
100,LOC,hafencity Hamburg,0.9999536275863647,2022-01-18,53.5429127,9.9958346
101,LOC,kiel,0.9999662637710572,2022-01-18,54.3227085,10.135555
102,LOC,lübeck,0.999210238456726,2022-01-18,53.866444,10.684738
103,LOC,lübeck,0.9993894100189208,2022-01-18,53.866444,10.684738
104,LOC,neumünster,0.9999924898147584,2022-01-18,54.0757442,9.9815377
105,LOC,norddeutschland,0.9999936819076538,2022-01-18,51.4697322,6.5673564
106,LOC,Schleswig holstein,0.9999910593032836,2022-01-18,54.1853998,9.8220089
107,LOC,Dove-elbe,0.9977263808250428,2022-01-19,53.4708043,10.1578635
108,LOC,Hamburg finkenwerder,0.9999847412109376,2022-01-19,53.5308822,9.8585234
109,LOC,hamburgsüd,0.9999932050704956,2022-01-19,-3.14760725,-59.99920766202624
111,LOC,Hamburg altona,0.9999425411224364,2022-01-21,53.5521527,9.9345653
